country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
SD,Sudan,1990,1992,1990,9,2,2,764.450439453125,11.0908904749794,,39.0195890623607,14.6754477806659,29.9502388129759,65.1580979966203,10.4369308817555,32.8,0.0,42.4667487969455,9.70073091544435,6.074,-0.0925352824411849,805.367309570313,15.0729562327699,15.652,40.1843515959888,12.1260647248559,31.0353531909027,123.578126902936,10.512988259954,26.9192943572998,,43.8718717350336,12.9016824036011,6.05,-0.0014036296932789,842.008605957031,19.6706332930978,15.702,38.5429544336647,11.693277071751,31.7438179745549,117.624468896394,12.3698610342809,27.4086132049561,,45.476717659199,12.4622518547494,6.019,0.0012798755862
SD,Sudan,1992,1994,1990,9,2,2,842.008605957031,19.6706332930978,15.702,38.5429544336647,11.693277071751,31.7438179745549,117.624468896394,12.3698610342809,27.4086132049561,,45.476717659199,12.4622518547494,6.019,0.0012798755862,862.978149414063,11.4660832437785,15.52,39.9000684515911,12.1761138932699,31.9884478944617,101.380423763812,15.1992923724007,27.897253036499,,44.3589633948314,11.7585839249372,5.97,-0.0018015978163341,850.299438476563,14.610015048858,15.64,34.5307043097102,10.0120017874348,32.0486931236115,115.398144292738,10.6553007246765,28.3845348358154,0.0,52.0969013775539,12.1733868966412,5.912,0.775219565723085
SD,Sudan,1994,1996,1990,9,2,2,850.299438476563,14.610015048858,15.64,34.5307043097102,10.0120017874348,32.0486931236115,115.398144292738,10.6553007246765,28.3845348358154,0.0,52.0969013775539,12.1733868966412,5.912,0.775219565723085,877.693298339844,14.7723984872323,15.65,37.2802811576655,10.1623239845636,32.1100625013715,68.3751929485422,5.5391670895105,28.8697834014893,0.0,48.9523754612259,9.28524728858393,5.856,0.0867656128706244,908.66015625,20.0298432137309,15.624,42.3848519608798,14.5744443111901,32.1664651904255,132.823777374139,12.006718003226,29.35231590271,0.0,39.8935457410247,4.28029798249265,5.792,0.0044354253890224
SD,Sudan,1996,1998,1990,9,2,2,908.66015625,20.0298432137309,15.624,42.3848519608798,14.5744443111901,32.1664651904255,132.823777374139,12.006718003226,29.35231590271,0.0,39.8935457410247,4.28029798249265,5.792,0.0044354253890224,1050.31994628906,17.858606720307,15.305,45.042249161223,14.0313239141513,32.2179601401085,47.1685369647197,8.97458620000376,29.8314571380615,0.00123,37.1668918104835,8.9536213588882,5.717,0.838100557144089,1069.27197265625,21.8751479870534,15.336,44.394590603038,14.5647329644475,32.2646062997555,24.6218785461586,10.2263950817264,30.3065280914307,0.00481,36.825381000623,8.51705403577743,5.646,3.29504622454876
SD,Sudan,1998,2000,1990,9,2,2,1069.27197265625,21.8751479870534,15.336,44.394590603038,14.5647329644475,32.2646062997555,24.6218785461586,10.2263950817264,30.3065280914307,0.00481,36.825381000623,8.51705403577743,5.646,3.29504622454876,1074.88098144531,24.7143682332999,15.387,43.2654994233288,15.5325796562813,32.3064626187016,17.1664454201761,10.3437659226407,30.7767562866211,0.00879,36.864974316213,7.69409653308455,5.622,3.47125085431825,1111.11865234375,29.4042344599492,15.608,40.6821739143403,20.0797178625874,32.3435880462815,7.12125897172291,24.8880308630392,23.0,0.025785,35.7090117949857,21.1339525732008,5.596,3.19972610023634
SD,Sudan,2000,2002,2000,6,-3,8,1111.11865234375,29.4042344599492,15.608,40.6821739143403,20.0797178625874,32.3435880462815,7.12125897172291,24.8880308630392,23.0,0.025785,35.7090117949857,21.1339525732008,5.596,3.19972610023634,1150.17626953125,20.2933456223411,15.568,35.7807746157648,19.5381154442319,32.3760415318304,1.93529572095333,20.5310077647122,29.4,0.140185,25.3402380871451,29.9734110098051,5.562,3.65224475988548,1185.21533203125,25.6255617213052,15.514,37.662742261404,20.7757913955766,32.4038820246832,22.2247241495905,21.5663517910828,29.7,0.439478,20.0077535626802,31.9363509310882,5.531,3.93215499570306
SD,Sudan,2002,2004,2000,6,-3,8,1185.21533203125,25.6255617213052,15.514,37.662742261404,20.7757913955766,32.4038820246832,22.2247241495905,21.5663517910828,29.7,0.439478,20.0077535626802,31.9363509310882,5.531,3.93215499570306,1226.42077636719,26.4402280670553,15.515,38.416611009222,19.8413102544769,32.4271684741748,6.48943208673338,22.074814442888,29.9,0.538472,20.8411829708171,32.6055926868343,5.489,6.31782319761386,1255.67114257813,30.4323376195052,15.539,34.0060768565709,21.4151752034683,32.4459598296403,9.65754628605945,23.6117319230397,30.2,0.791562,19.6136870640777,36.9158213269421,5.455,5.67090591014718
SD,Sudan,2004,2006,2000,6,-3,8,1255.67114257813,30.4323376195052,15.539,34.0060768565709,21.4151752034683,32.4459598296403,9.65754628605945,23.6117319230397,30.2,0.791562,19.6136870640777,36.9158213269421,5.455,5.67090591014718,1290.24438476563,35.8715914021946,15.546,33.199920468691,21.9763462611458,32.4603150404146,8.50585075933117,21.2067763046123,30.5,1.29204,17.9950722184399,35.0968345957974,5.397,4.4387993666553,1336.1240234375,36.2025936172703,15.542,31.8201079594306,22.9778613068907,32.4702930558327,7.19912990114709,22.8891769937744,30.8,,19.855472715377,34.2031344369897,5.332,4.06910716037147
SD,Sudan,2006,2008,2000,6,-3,8,1336.1240234375,36.2025936172703,15.542,31.8201079594306,22.9778613068907,32.4702930558327,7.19912990114709,22.8891769937744,30.8,,19.855472715377,34.2031344369897,5.332,4.06910716037147,1372.10961914063,34.4033361615632,15.531,35.6675143701418,26.3285235935348,32.4759528252296,14.7542770780084,21.3061261282548,31.1,8.66,10.8761534344019,40.3808723246087,5.27,2.53091571467554,1381.62561035156,36.7410978273835,15.566,36.1831633212385,28.2073396404398,32.4816230749746,14.2971224481434,20.668907969621,20.0,,15.4985357509151,37.4271124807679,5.212,2.54980980762297
SD,Sudan,2008,2010,2000,6,-3,8,1381.62561035156,36.7410978273835,15.566,36.1831633212385,28.2073396404398,32.4816230749746,14.2971224481434,20.668907969621,20.0,,15.4985357509151,37.4271124807679,5.212,2.54980980762297,1301.34729003906,32.7808783344833,13.0,33.5066805707755,25.6508731569437,32.5774622972843,11.256758706301,22.325908295006,29.0,,26.4598144889249,24.3692425211922,5.173,3.3441756822644,1311.22314453125,32.728309950035,15.161,31.8522211122842,21.1420469221691,32.7174026591513,12.9776663898014,20.3985392323003,36.0,,30.8333184053026,31.4923715226677,5.141,3.50004539535845
